model,mode,domain,experiment,callable,game_id,quality_score,binary_accuracy,efficiency_raw,guess_turn,budget_used_ratio,remaining_turn_budget,tolerance_used,n_test_cases,passed_test_cases,failed_test_cases
gpt-4.1-2025-04-14,active_pair_checks,numbers,numbers_active_pair_checks,absolute_value,2,33.33333333333333,1,0.3333333333333333,12,0.8,3,1,100,100,0
gpt-4.1-2025-04-14,active_pair_checks,numbers,numbers_active_pair_checks,add_one,8,0.0,0,0.3333333333333333,12,0.8,3,1,100,0,100
gpt-4.1-2025-04-14,active_pair_checks,numbers,numbers_active_pair_checks,clamp_to_0_9,14,0.0,0,0.3333333333333333,12,0.8,3,1,100,0,100
gpt-4.1-2025-04-14,active_pair_checks,numbers,numbers_active_pair_checks,is_even,20,40.0,1,0.4,11,0.7333333333333333,4,1,100,100,0
gpt-4.1-2025-04-14,active_pair_checks,numbers,numbers_active_pair_checks,sign_label,26,0.0,0,0.3333333333333333,12,0.8,3,1,100,0,100
gpt-4.1-2025-04-14,active_pair_checks,two_numbers,two_numbers_active_pair_checks,min_value,32,0.0,0,0.26666666666666666,13,0.8666666666666667,2,1,100,0,100
gpt-4.1-2025-04-14,active_pair_checks,two_numbers,two_numbers_active_pair_checks,max_value,38,0.0,0,0.26666666666666666,13,0.8666666666666667,2,1,100,0,100
gpt-4.1-2025-04-14,active_pair_checks,two_numbers,two_numbers_active_pair_checks,sum_two,44,40.0,1,0.4,11,0.7333333333333333,4,1,100,100,0
gpt-4.1-2025-04-14,active_pair_checks,two_numbers,two_numbers_active_pair_checks,abs_diff,50,33.33333333333333,1,0.3333333333333333,12,0.8,3,1,100,100,0
gpt-4.1-2025-04-14,active_pair_checks,two_numbers,two_numbers_active_pair_checks,first_minus_second,56,40.0,1,0.4,11,0.7333333333333333,4,1,100,100,0
gpt-4.1-2025-04-14,active_pair_checks,string,string_active_pair_checks,reverse_str,62,53.333333333333336,1,0.5333333333333333,9,0.6,6,1,100,100,0
gpt-4.1-2025-04-14,active_pair_checks,string,string_active_pair_checks,first_char,68,0.0,0,0.3333333333333333,12,0.8,3,1,100,0,100
gpt-4.1-2025-04-14,active_pair_checks,string,string_active_pair_checks,add_exclamation,74,0.0,0,0.3333333333333333,12,0.8,3,1,100,0,100
gpt-4.1-2025-04-14,active_pair_checks,string,string_active_pair_checks,uppercase_str,80,33.33333333333333,1,0.3333333333333333,12,0.8,3,1,100,100,0
gpt-4.1-2025-04-14,active_pair_checks,string,string_active_pair_checks,remove_space,86,33.33333333333333,1,0.3333333333333333,12,0.8,3,1,100,100,0
gpt-4.1-2025-04-14,active_pair_checks,list,list_active_pair_checks,list_len,92,0.0,0,0.26666666666666666,13,0.8666666666666667,2,1,100,0,100
gpt-4.1-2025-04-14,active_pair_checks,list,list_active_pair_checks,ret_first_item,98,40.0,1,0.4,11,0.7333333333333333,4,1,100,100,0
gpt-4.1-2025-04-14,active_pair_checks,list,list_active_pair_checks,sum_list,104,46.666666666666664,1,0.4666666666666667,10,0.6666666666666666,5,1,100,100,0
gpt-4.1-2025-04-14,active_pair_checks,list,list_active_pair_checks,count_zeros,110,0.0,0,0.3333333333333333,12,0.8,3,1,100,0,100
gpt-4.1-2025-04-14,active_pair_checks,list,list_active_pair_checks,rmv_duplicates,116,33.33333333333333,1,0.3333333333333333,12,0.8,3,1,100,100,0
gpt-4.1-2025-04-14,active_pair_checks,logic,logic_active_pair_checks,logic_and,122,0.0,0,0.5333333333333333,9,0.6,6,1,4,0,4
gpt-4.1-2025-04-14,active_pair_checks,logic,logic_active_pair_checks,logic_or,128,60.0,1,0.6,8,0.5333333333333333,7,1,4,4,0
gpt-4.1-2025-04-14,active_pair_checks,logic,logic_active_pair_checks,logic_xor,134,0.0,0,0.6666666666666666,7,0.4666666666666667,8,1,4,0,4
gpt-4.1-2025-04-14,active_pair_checks,logic,logic_active_pair_checks,not_value,140,80.0,1,0.8,5,0.3333333333333333,10,1,2,2,0
gpt-4.1-2025-04-14,active_pair_checks,logic,logic_active_pair_checks,implies,146,0.0,0,0.5333333333333333,9,0.6,6,1,4,0,4
