model,domain,guess_outcome,episodes,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_quality_score
gpt-4.1-mini,numbers,right,4,1.0,1.0,0.0,100.0
gpt-4.1-mini,numbers,wrong,1,1.0,1.0,0.0,0.0
gpt-4.1-mini,two_numbers,right,3,1.0,1.0,0.0,100.0
gpt-4.1-mini,two_numbers,wrong,2,1.0,1.0,0.0,0.0
gpt-4.1-mini,string,right,4,1.0,1.0,0.0,100.0
gpt-4.1-mini,string,wrong,1,1.0,1.0,0.0,0.0
gpt-4.1-mini,list,right,2,1.0,1.0,0.0,100.0
gpt-4.1-mini,list,wrong,3,1.0,1.0,0.0,0.0
gpt-4.1-mini,logic,right,5,1.0,1.0,0.0,100.0
gpt-4.1-nano,numbers,right,3,1.0,1.0,0.0,100.0
gpt-4.1-nano,numbers,wrong,2,1.0,1.0,0.0,0.0
gpt-4.1-nano,two_numbers,right,2,1.0,1.0,0.0,100.0
gpt-4.1-nano,two_numbers,wrong,3,1.0,1.0,0.0,0.0
gpt-4.1-nano,string,right,5,1.0,1.0,0.0,100.0
gpt-4.1-nano,list,right,2,1.0,1.0,0.0,100.0
gpt-4.1-nano,list,wrong,3,1.0,1.0,0.0,0.0
gpt-4.1-nano,logic,right,5,1.0,1.0,0.0,100.0
gpt-5-nano,numbers,right,5,1.0,1.0,0.0,100.0
gpt-5-nano,two_numbers,right,2,1.0,1.0,0.0,100.0
gpt-5-nano,two_numbers,wrong,3,1.0,1.0,0.0,0.0
gpt-5-nano,string,right,5,1.0,1.0,0.0,100.0
gpt-5-nano,list,right,3,1.0,1.0,0.0,100.0
gpt-5-nano,list,wrong,2,1.0,1.0,0.0,0.0
gpt-5-nano,logic,right,5,1.0,1.0,0.0,100.0
