model,domain,guess_outcome,episodes,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_quality_score
Qwen3.6-35B-A3B-FP8,numbers,wrong,5,15.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8,two_numbers,wrong,5,15.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8,string,right,1,15.0,1.0,0.0,73.33333333333333
Qwen3.6-35B-A3B-FP8,string,wrong,4,15.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8,list,wrong,5,15.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8,logic,right,2,9.0,0.6,6.0,86.66666666666666
Qwen3.6-35B-A3B-FP8,logic,wrong,3,15.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,numbers,right,1,13.0,0.8666666666666667,2.0,33.33333333333333
Qwen3.6-35B-A3B-FP8-without-reasoning,numbers,wrong,4,15.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,two_numbers,wrong,5,15.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,string,right,1,11.0,0.7333333333333333,4.0,46.666666666666664
Qwen3.6-35B-A3B-FP8-without-reasoning,string,wrong,4,15.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,list,wrong,5,15.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,logic,right,5,7.0,0.4666666666666667,8.0,80.0
gpt-4.1-2025-04-14,numbers,right,4,11.0,0.7333333333333334,4.0,40.0
gpt-4.1-2025-04-14,numbers,wrong,1,11.0,0.7333333333333333,4.0,0.0
gpt-4.1-2025-04-14,two_numbers,right,5,11.6,0.7733333333333333,3.4,36.0
gpt-4.1-2025-04-14,string,right,5,11.4,0.76,3.6,38.666666666666664
gpt-4.1-2025-04-14,list,right,4,12.5,0.8333333333333334,2.5,30.0
gpt-4.1-2025-04-14,list,wrong,1,12.0,0.8,3.0,0.0
gpt-4.1-2025-04-14,logic,right,5,4.6,0.30666666666666664,10.4,82.66666666666666
gpt-4.1-mini,numbers,right,1,12.0,0.8,3.0,33.33333333333333
gpt-4.1-mini,numbers,wrong,4,14.25,0.95,0.75,0.0
gpt-4.1-mini,two_numbers,right,1,13.0,0.8666666666666667,2.0,26.666666666666668
gpt-4.1-mini,two_numbers,wrong,4,14.75,0.9833333333333334,0.25,0.0
gpt-4.1-mini,string,right,4,11.5,0.7666666666666667,3.5,36.66666666666667
gpt-4.1-mini,string,wrong,1,15.0,1.0,0.0,0.0
gpt-4.1-mini,list,right,3,13.0,0.8666666666666667,2.0,26.666666666666668
gpt-4.1-mini,list,wrong,2,15.0,1.0,0.0,0.0
gpt-4.1-mini,logic,right,5,5.4,0.36,9.6,77.33333333333333
gpt-4.1-nano,numbers,right,2,11.0,0.7333333333333334,4.0,49.99999999999999
gpt-4.1-nano,numbers,wrong,3,15.0,1.0,0.0,0.0
gpt-4.1-nano,two_numbers,right,2,11.0,0.7333333333333333,4.0,43.33333333333333
gpt-4.1-nano,two_numbers,wrong,3,8.666666666666666,0.5777777777777778,6.333333333333333,0.0
gpt-4.1-nano,string,right,3,6.0,0.4000000000000001,9.0,77.77777777777777
gpt-4.1-nano,string,wrong,2,7.0,0.4666666666666667,8.0,0.0
gpt-4.1-nano,list,right,2,9.5,0.6333333333333333,5.5,53.33333333333333
gpt-4.1-nano,list,wrong,3,5.666666666666667,0.37777777777777777,9.333333333333334,0.0
gpt-4.1-nano,logic,right,3,5.333333333333333,0.35555555555555557,9.666666666666666,80.0
gpt-4.1-nano,logic,wrong,2,5.0,0.3333333333333333,10.0,0.0
