model,failure_reason,episodes,share
Qwen3.6-35B-A3B-FP8,protocol_or_format_error,25,0.2
Qwen3.6-35B-A3B-FP8-without-reasoning,correct_guess,3,0.024
Qwen3.6-35B-A3B-FP8-without-reasoning,protocol_or_format_error,19,0.152
Qwen3.6-35B-A3B-FP8-without-reasoning,wrong_function_guess,3,0.024
gpt-4.1-2025-04-14,correct_guess,12,0.096
gpt-4.1-2025-04-14,wrong_function_guess,13,0.104
gpt-4.1-mini,correct_guess,8,0.064
gpt-4.1-mini,protocol_or_format_error,4,0.032
gpt-4.1-mini,wrong_function_guess,13,0.104
gpt-4.1-nano,correct_guess,4,0.032
gpt-4.1-nano,protocol_or_format_error,7,0.056
gpt-4.1-nano,wrong_function_guess,14,0.112
