callable,episodes,played_episodes,correct_guesses,avg_quality_score,avg_binary_accuracy,avg_efficiency,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_passed_test_cases,avg_failed_test_cases,avg_internal_consistency_score,avg_violated_request_count,avg_runtime_error_count,avg_parse_error_count,avg_internal_consistency_score_on_failed
abs_diff,1,1,1,80.0,1.0,0.8,9.0,0.6,6.0,100.0,0.0,1.0,4.0,0.0,4.0,
absolute_value,1,1,0,0.0,0.0,0.8666666666666667,9.0,0.6,6.0,0.0,100.0,0.6666666666666666,5.0,0.0,5.0,0.6666666666666666
add_exclamation,1,1,0,0.0,0.0,1.0666666666666667,9.0,0.6,6.0,0.0,100.0,0.0,8.0,0.0,8.0,0.0
add_one,1,1,0,0.0,0.0,0.8,10.0,0.6666666666666666,5.0,0.0,100.0,0.0,5.0,0.0,5.0,0.0
clamp_to_0_9,1,1,0,0.0,0.0,0.4,12.0,0.8,3.0,0.0,100.0,1.0,1.0,0.0,1.0,1.0
count_zeros,1,1,0,0.0,0.0,0.9333333333333333,4.0,0.26666666666666666,11.0,0.0,100.0,0.0,1.0,0.0,1.0,0.0
first_char,1,1,0,0.0,0.0,0.9333333333333333,6.0,0.4,9.0,0.0,100.0,0.0,3.0,0.0,3.0,0.0
first_minus_second,1,1,1,93.33333333333333,1.0,0.9333333333333333,6.0,0.4,9.0,100.0,0.0,1.0,3.0,0.0,3.0,
implies,1,1,0,0.0,0.0,0.8666666666666667,8.0,0.5333333333333333,7.0,0.0,4.0,1.0,4.0,0.0,4.0,1.0
is_even,1,1,0,0.0,0.0,0.7333333333333333,12.0,0.8,3.0,0.0,100.0,0.5,6.0,0.0,6.0,0.5
list_len,1,1,0,0.0,0.0,0.8666666666666667,5.0,0.3333333333333333,10.0,0.0,100.0,0.0,1.0,0.0,1.0,0.0
logic_and,1,1,0,0.0,0.0,0.8,9.0,0.6,6.0,0.0,4.0,0.25,4.0,0.0,4.0,0.25
logic_or,1,1,0,0.0,0.0,0.8666666666666667,8.0,0.5333333333333333,7.0,0.0,4.0,0.75,4.0,0.0,4.0,0.75
logic_xor,1,1,1,80.0,1.0,0.8,8.0,0.5333333333333333,7.0,4.0,0.0,1.0,3.0,0.0,3.0,
max_value,1,1,0,0.0,0.0,0.8666666666666667,9.0,0.6,6.0,0.0,100.0,1.0,5.0,0.0,5.0,1.0
min_value,1,1,0,0.0,0.0,0.9333333333333333,9.0,0.6,6.0,0.0,100.0,0.0,6.0,0.0,6.0,0.0
not_value,1,1,0,0.0,0.0,0.8666666666666667,4.0,0.26666666666666666,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
remove_space,1,1,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,14.0,0.0,14.0,0.0
ret_first_item,1,1,0,0.0,0.0,0.6666666666666666,14.0,0.9333333333333333,1.0,0.0,100.0,0.0,7.0,0.0,7.0,0.0
reverse_str,1,1,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,8.0,0.0,8.0,0.0
rmv_duplicates,1,1,0,0.0,0.0,1.0666666666666667,7.0,0.4666666666666667,8.0,0.0,100.0,0.0,6.0,0.0,6.0,0.0
sign_label,1,1,0,0.0,0.0,0.7333333333333333,12.0,0.8,3.0,0.0,100.0,0.0,6.0,0.0,6.0,0.0
sum_list,1,1,0,0.0,0.0,0.8666666666666667,5.0,0.3333333333333333,10.0,0.0,100.0,0.0,1.0,0.0,1.0,0.0
sum_two,1,1,0,0.0,0.0,0.8,7.0,0.4666666666666667,8.0,0.0,100.0,0.75,2.0,0.0,2.0,0.75
uppercase_str,1,1,0,0.0,0.0,0.8,10.0,0.6666666666666666,5.0,0.0,100.0,0.0,5.0,0.0,5.0,0.0
