callable,episodes,played_episodes,correct_guesses,avg_quality_score,avg_binary_accuracy,avg_efficiency,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_passed_test_cases,avg_failed_test_cases,avg_internal_consistency_score,avg_violated_request_count,avg_runtime_error_count,avg_parse_error_count,avg_internal_consistency_score_on_failed
abs_diff,5,5,1,8.0,0.2,0.22666666666666666,13.0,0.8666666666666666,2.0,20.0,80.0,0.4114285714285715,3.0,0.0,3.0,0.2642857142857143
absolute_value,5,5,2,12.0,0.4,0.2,13.2,0.8800000000000001,1.8,40.0,60.0,0.4333333333333333,3.0,0.0,3.0,0.05555555555555555
add_exclamation,5,5,1,8.0,0.2,0.13333333333333336,13.8,0.9199999999999999,1.2,20.0,80.0,0.34285714285714286,2.6,0.0,2.6,0.17857142857142858
add_one,5,5,2,13.333333333333334,0.4,0.24,12.6,0.8400000000000001,2.4,40.0,60.0,0.48,2.6,0.0,2.6,0.13333333333333333
clamp_to_0_9,5,5,0,0.0,0.0,0.22666666666666666,12.8,0.8533333333333333,2.2,0.0,100.0,0.4,2.6,0.0,2.6,0.4
count_zeros,5,5,0,0.0,0.0,0.24,12.8,0.8533333333333333,2.2,0.0,100.0,0.34095238095238095,3.0,0.0,3.0,0.34095238095238095
first_char,5,5,1,4.0,0.2,0.12,15.0,1.0,0.0,20.0,80.0,0.55,3.4,0.0,3.4,0.4375
first_minus_second,5,5,1,5.333333333333334,0.2,0.09333333333333334,14.4,0.96,0.6,20.0,80.0,0.2,3.0,0.0,3.0,0.0
implies,5,5,0,0.0,0.0,0.5599999999999999,9.2,0.6133333333333333,5.8,0.0,4.0,0.6,3.6,0.0,3.6,0.6
is_even,5,5,0,0.0,0.0,0.2533333333333333,12.6,0.8400000000000001,2.4,0.0,100.0,0.3466666666666667,3.2,0.0,3.2,0.3466666666666667
list_len,5,5,1,5.333333333333334,0.2,0.10666666666666666,14.2,0.9466666666666667,0.8,20.0,80.0,0.34285714285714286,2.4,0.0,2.4,0.17857142857142858
logic_and,5,5,0,0.0,0.0,0.4,10.8,0.72,4.2,0.0,4.0,0.48571428571428577,2.6,0.0,2.6,0.48571428571428577
logic_or,5,5,2,26.666666666666668,0.4,0.5066666666666666,9.6,0.64,5.4,1.6,2.4,0.8,3.0,0.0,3.0,0.6666666666666666
logic_xor,5,5,2,33.333333333333336,0.4,0.52,9.0,0.6,6.0,1.6,2.4,0.6799999999999999,2.8,0.0,2.8,0.4666666666666666
max_value,5,5,2,10.666666666666668,0.4,0.16,14.2,0.9466666666666667,0.8,40.0,60.0,0.5428571428571429,3.0,0.0,3.0,0.2380952380952381
min_value,5,5,1,5.333333333333334,0.2,0.18666666666666668,13.8,0.9199999999999999,1.2,20.0,80.0,0.41904761904761906,3.4,0.0,3.4,0.2738095238095238
not_value,5,5,2,20.0,0.4,0.3333333333333333,11.2,0.7466666666666667,3.8,0.8,1.2,0.4,2.8,0.0,2.8,0.0
remove_space,5,5,3,14.666666666666666,0.6,0.22666666666666666,13.6,0.9066666666666666,1.4,60.0,40.0,0.7,3.0,0.0,3.0,0.25
ret_first_item,5,5,0,0.0,0.0,0.27999999999999997,12.2,0.8133333333333332,2.8,0.0,100.0,0.27142857142857146,3.0,0.0,3.0,0.27142857142857146
reverse_str,5,5,2,20.0,0.4,0.2533333333333333,12.6,0.8400000000000001,2.4,40.0,60.0,0.45714285714285713,2.8,0.0,2.8,0.09523809523809523
rmv_duplicates,5,5,0,0.0,0.0,0.27999999999999997,12.0,0.8,3.0,0.0,100.0,0.36666666666666664,4.2,0.0,4.2,0.36666666666666664
sign_label,5,5,0,0.0,0.0,0.26666666666666666,12.2,0.8133333333333332,2.8,0.0,100.0,0.5666666666666667,2.8,0.0,2.8,0.5666666666666667
sum_list,5,5,3,25.333333333333336,0.6,0.38666666666666666,11.2,0.7466666666666667,3.8,60.0,40.0,0.6,2.8,0.0,2.8,0.0
sum_two,5,5,4,26.666666666666664,0.8,0.26666666666666666,13.0,0.8666666666666666,2.0,80.0,20.0,0.8,2.8,0.0,2.8,0.0
uppercase_str,5,5,3,21.333333333333336,0.6,0.21333333333333332,13.0,0.8666666666666666,2.0,60.0,40.0,0.6,2.6,0.0,2.6,0.0
