model,domain,guess_outcome,episodes,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_quality_score
gpt-4.1-mini,numbers,right,3,11.333333333333334,0.7555555555555555,3.6666666666666665,37.77777777777778
gpt-4.1-mini,numbers,wrong,2,11.5,0.7666666666666666,3.5,0.0
gpt-4.1-mini,two_numbers,right,4,12.5,0.8333333333333334,2.5,31.666666666666664
gpt-4.1-mini,two_numbers,wrong,1,12.0,0.8,3.0,0.0
gpt-4.1-mini,string,right,5,12.8,0.8533333333333333,2.2,28.0
gpt-4.1-mini,list,right,2,11.5,0.7666666666666666,3.5,36.666666666666664
gpt-4.1-mini,list,wrong,3,11.333333333333334,0.7555555555555555,3.6666666666666665,0.0
gpt-4.1-mini,logic,right,2,10.5,0.7,4.5,50.0
gpt-4.1-mini,logic,wrong,3,8.666666666666666,0.5777777777777778,6.333333333333333,0.0
gpt-4.1-nano,numbers,right,1,7.0,0.4666666666666667,8.0,66.66666666666666
gpt-4.1-nano,numbers,wrong,4,9.0,0.6,6.0,0.0
gpt-4.1-nano,two_numbers,right,4,12.0,0.8,3.0,41.666666666666664
gpt-4.1-nano,two_numbers,wrong,1,15.0,1.0,0.0,0.0
gpt-4.1-nano,string,right,1,9.0,0.6,6.0,53.333333333333336
gpt-4.1-nano,string,wrong,4,14.25,0.95,0.75,0.0
gpt-4.1-nano,list,right,1,7.0,0.4666666666666667,8.0,66.66666666666666
gpt-4.1-nano,list,wrong,4,7.5,0.5,7.5,0.0
gpt-4.1-nano,logic,right,1,4.0,0.26666666666666666,11.0,86.66666666666667
gpt-4.1-nano,logic,wrong,4,5.0,0.3333333333333333,10.0,0.0
gpt-5-nano,numbers,right,1,2.0,0.13333333333333333,13.0,100.0
gpt-5-nano,numbers,wrong,4,3.75,0.25,11.25,0.0
gpt-5-nano,two_numbers,right,1,5.0,0.3333333333333333,10.0,80.0
gpt-5-nano,two_numbers,wrong,4,2.0,0.13333333333333333,13.0,0.0
gpt-5-nano,string,right,1,1.0,0.06666666666666667,14.0,100.0
gpt-5-nano,string,wrong,4,2.0,0.13333333333333333,13.0,0.0
gpt-5-nano,list,right,1,2.0,0.13333333333333333,13.0,100.0
gpt-5-nano,list,wrong,4,6.5,0.43333333333333335,8.5,0.0
gpt-5-nano,logic,wrong,5,2.8,0.18666666666666668,12.2,0.0
