model,mode,domain,experiment,callable,game_id,quality_score,binary_accuracy,efficiency_raw,guess_turn,budget_used_ratio,remaining_turn_budget,tolerance_used,n_test_cases,passed_test_cases,failed_test_cases
Qwen3.6-35B-A3B-FP8,active_pair_checks,numbers,numbers_active_pair_checks,absolute_value,2,0.0,0,0.0,1,0.06666666666666667,14,0,100,0,100
Qwen3.6-35B-A3B-FP8,active_pair_checks,numbers,numbers_active_pair_checks,add_one,8,0.0,0,0.0,1,0.06666666666666667,14,0,100,0,100
Qwen3.6-35B-A3B-FP8,active_pair_checks,numbers,numbers_active_pair_checks,clamp_to_0_9,14,0.0,0,0.0,1,0.06666666666666667,14,0,100,0,100
Qwen3.6-35B-A3B-FP8,active_pair_checks,numbers,numbers_active_pair_checks,is_even,20,0.0,0,0.0,1,0.06666666666666667,14,0,100,0,100
Qwen3.6-35B-A3B-FP8,active_pair_checks,numbers,numbers_active_pair_checks,sign_label,26,0.0,0,0.0,1,0.06666666666666667,14,0,100,0,100
Qwen3.6-35B-A3B-FP8,active_pair_checks,two_numbers,two_numbers_active_pair_checks,min_value,32,0.0,0,0.0,1,0.06666666666666667,14,0,100,0,100
Qwen3.6-35B-A3B-FP8,active_pair_checks,two_numbers,two_numbers_active_pair_checks,max_value,38,0.0,0,0.0,1,0.06666666666666667,14,0,100,0,100
Qwen3.6-35B-A3B-FP8,active_pair_checks,two_numbers,two_numbers_active_pair_checks,sum_two,44,0.0,0,0.0,1,0.06666666666666667,14,0,100,0,100
Qwen3.6-35B-A3B-FP8,active_pair_checks,two_numbers,two_numbers_active_pair_checks,abs_diff,50,0.0,0,0.0,1,0.06666666666666667,14,0,100,0,100
Qwen3.6-35B-A3B-FP8,active_pair_checks,two_numbers,two_numbers_active_pair_checks,first_minus_second,56,0.0,0,0.0,1,0.06666666666666667,14,0,100,0,100
Qwen3.6-35B-A3B-FP8,active_pair_checks,string,string_active_pair_checks,reverse_str,62,0.0,0,0.0,1,0.06666666666666667,14,0,100,0,100
Qwen3.6-35B-A3B-FP8,active_pair_checks,string,string_active_pair_checks,first_char,68,0.0,0,0.0,1,0.06666666666666667,14,0,100,0,100
Qwen3.6-35B-A3B-FP8,active_pair_checks,string,string_active_pair_checks,add_exclamation,74,0.0,0,0.0,1,0.06666666666666667,14,0,100,0,100
Qwen3.6-35B-A3B-FP8,active_pair_checks,string,string_active_pair_checks,uppercase_str,80,0.0,0,0.0,1,0.06666666666666667,14,0,100,0,100
Qwen3.6-35B-A3B-FP8,active_pair_checks,string,string_active_pair_checks,remove_space,86,0.0,0,0.0,1,0.06666666666666667,14,0,100,0,100
Qwen3.6-35B-A3B-FP8,active_pair_checks,list,list_active_pair_checks,list_len,92,0.0,0,0.0,1,0.06666666666666667,14,0,100,0,100
Qwen3.6-35B-A3B-FP8,active_pair_checks,list,list_active_pair_checks,ret_first_item,98,0.0,0,0.0,1,0.06666666666666667,14,0,100,0,100
Qwen3.6-35B-A3B-FP8,active_pair_checks,list,list_active_pair_checks,sum_list,104,0.0,0,0.0,1,0.06666666666666667,14,0,100,0,100
Qwen3.6-35B-A3B-FP8,active_pair_checks,list,list_active_pair_checks,count_zeros,110,0.0,0,0.0,1,0.06666666666666667,14,0,100,0,100
Qwen3.6-35B-A3B-FP8,active_pair_checks,list,list_active_pair_checks,rmv_duplicates,116,0.0,0,0.0,1,0.06666666666666667,14,0,100,0,100
Qwen3.6-35B-A3B-FP8,active_pair_checks,logic,logic_active_pair_checks,logic_and,122,0.0,0,0.0,1,0.06666666666666667,14,0,4,0,4
Qwen3.6-35B-A3B-FP8,active_pair_checks,logic,logic_active_pair_checks,logic_or,128,0.0,0,0.0,1,0.06666666666666667,14,0,4,0,4
Qwen3.6-35B-A3B-FP8,active_pair_checks,logic,logic_active_pair_checks,logic_xor,134,0.0,0,0.0,1,0.06666666666666667,14,0,4,0,4
Qwen3.6-35B-A3B-FP8,active_pair_checks,logic,logic_active_pair_checks,not_value,140,0.0,0,0.0,1,0.06666666666666667,14,0,2,0,2
Qwen3.6-35B-A3B-FP8,active_pair_checks,logic,logic_active_pair_checks,implies,146,0.0,0,0.0,1,0.06666666666666667,14,0,4,0,4
