model,failure_reason,episodes,share
Qwen3.6-35B-A3B-FP8,protocol_or_format_error,25,0.2
Qwen3.6-35B-A3B-FP8-without-reasoning,correct_guess,5,0.04
Qwen3.6-35B-A3B-FP8-without-reasoning,protocol_or_format_error,20,0.16
gpt-4.1-2025-04-14,correct_guess,10,0.08
gpt-4.1-2025-04-14,wrong_function_guess,15,0.12
gpt-4.1-mini,correct_guess,13,0.104
gpt-4.1-mini,protocol_or_format_error,4,0.032
gpt-4.1-mini,wrong_function_guess,8,0.064
gpt-4.1-nano,correct_guess,5,0.04
gpt-4.1-nano,protocol_or_format_error,4,0.032
gpt-4.1-nano,wrong_function_guess,16,0.128
