callable,episodes,played_episodes,correct_guesses,avg_quality_score,avg_binary_accuracy,avg_efficiency,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_passed_test_cases,avg_failed_test_cases,avg_internal_consistency_score,avg_violated_request_count,avg_runtime_error_count,avg_parse_error_count,avg_internal_consistency_score_on_failed
abs_diff,5,5,1,6.666666666666666,0.2,0.18666666666666668,13.2,0.8800000000000001,1.8,20.0,80.0,0.4,2.6,0.0,2.6,0.25
absolute_value,5,5,1,9.333333333333332,0.2,0.16,13.4,0.8933333333333333,1.6,20.0,80.0,0.4,1.8,0.0,1.8,0.25
add_exclamation,5,5,4,42.666666666666664,0.8,0.42666666666666664,12.4,0.8266666666666668,2.6,80.0,20.0,0.8,2.4,0.0,2.4,0.0
add_one,5,5,3,22.666666666666664,0.6,0.22666666666666666,13.0,0.8666666666666666,2.0,60.0,40.0,0.6,2.2,0.0,2.2,0.0
clamp_to_0_9,5,5,0,0.0,0.0,0.08,14.2,0.9466666666666667,0.8,0.0,100.0,0.2,2.6,0.0,2.6,0.2
count_zeros,5,5,2,17.333333333333336,0.4,0.17333333333333334,13.4,0.8933333333333333,1.6,40.0,60.0,0.4,2.4,0.0,2.4,0.0
first_char,5,5,2,8.0,0.4,0.22666666666666666,13.0,0.8666666666666666,2.0,40.0,60.0,0.6,2.8,0.0,2.8,0.3333333333333333
first_minus_second,5,5,1,8.0,0.2,0.2,13.0,0.8666666666666666,2.0,20.0,80.0,0.4,2.8,0.0,2.8,0.25
implies,5,5,3,44.0,0.6,0.6,8.0,0.5333333333333333,7.0,2.4,1.6,0.7,2.8,0.0,2.8,0.25
is_even,5,5,2,19.999999999999996,0.4,0.2,13.0,0.8666666666666666,2.0,40.0,60.0,0.4,2.2,0.0,2.2,0.0
list_len,5,5,2,9.333333333333334,0.4,0.24,12.6,0.8400000000000001,2.4,40.0,60.0,0.6,2.4,0.0,2.4,0.3333333333333333
logic_and,5,5,5,80.0,1.0,0.8,7.0,0.4666666666666667,8.0,4.0,0.0,1.0,2.0,0.0,2.0,
logic_or,5,5,4,64.0,0.8,0.64,7.4,0.49333333333333335,7.6,3.2,0.8,0.8,2.6,0.0,2.6,0.0
logic_xor,5,5,3,46.666666666666664,0.6,0.6266666666666667,7.6,0.5066666666666666,7.4,2.4,1.6,0.75,2.8,0.0,2.8,0.375
max_value,5,5,2,17.333333333333332,0.4,0.17333333333333334,13.4,0.8933333333333333,1.6,40.0,60.0,0.4,2.8,0.0,2.8,0.0
min_value,5,5,1,6.666666666666666,0.2,0.24,12.8,0.8533333333333333,2.2,20.0,80.0,0.4769230769230769,2.6,0.0,2.6,0.34615384615384615
not_value,5,5,5,88.0,1.0,0.8800000000000001,4.8,0.32,10.2,2.0,0.0,1.0,1.0,0.0,1.0,
remove_space,5,5,1,6.666666666666666,0.2,0.21333333333333332,12.8,0.8533333333333333,2.2,20.0,80.0,0.4,2.4,0.0,2.4,0.25
ret_first_item,5,5,1,6.666666666666666,0.2,0.21333333333333332,12.6,0.8400000000000001,2.4,20.0,80.0,0.4,2.8,0.0,2.8,0.25
reverse_str,5,5,4,44.0,0.8,0.44000000000000006,10.2,0.6799999999999999,4.8,80.0,20.0,0.8,3.0,0.0,3.0,0.0
rmv_duplicates,5,5,1,6.666666666666666,0.2,0.29333333333333333,11.8,0.7866666666666667,3.2,20.0,80.0,0.5272727272727272,2.4,0.0,2.4,0.40909090909090906
sign_label,5,5,2,13.333333333333332,0.4,0.13333333333333333,14.2,0.9466666666666667,0.8,40.0,60.0,0.4,2.6,0.0,2.6,0.0
sum_list,5,5,3,21.333333333333332,0.6,0.21333333333333332,13.0,0.8666666666666666,2.0,60.0,40.0,0.6,2.8,0.0,2.8,0.0
sum_two,5,5,3,20.0,0.6,0.2,13.2,0.8800000000000001,1.8,60.0,40.0,0.6,2.8,0.0,2.8,0.0
uppercase_str,5,5,3,37.33333333333333,0.6,0.37333333333333335,10.8,0.72,4.2,60.0,40.0,0.6,2.6,0.0,2.6,0.0
