callable,episodes,played_episodes,correct_guesses,avg_quality_score,avg_binary_accuracy,avg_efficiency,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_passed_test_cases,avg_failed_test_cases,avg_internal_consistency_score,avg_violated_request_count,avg_runtime_error_count,avg_parse_error_count,avg_internal_consistency_score_on_failed
abs_diff,3,3,1,33.333333333333336,0.3333333333333333,1.0,1.0,1.0,0.0,33.333333333333336,66.66666666666667,1.0,0.0,0.0,0.0,1.0
absolute_value,3,3,2,66.66666666666667,0.6666666666666666,1.0,1.0,1.0,0.0,66.66666666666667,33.333333333333336,1.0,0.0,0.0,0.0,1.0
add_exclamation,3,3,3,100.0,1.0,1.0,1.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,
add_one,3,3,3,100.0,1.0,1.0,1.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,
clamp_to_0_9,3,3,1,33.333333333333336,0.3333333333333333,1.0,1.0,1.0,0.0,33.333333333333336,66.66666666666667,1.0,0.0,0.0,0.0,1.0
count_zeros,3,3,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,1.0
first_char,3,3,2,66.66666666666667,0.6666666666666666,1.0,1.0,1.0,0.0,66.66666666666667,33.333333333333336,1.0,0.0,0.0,0.0,1.0
first_minus_second,3,3,3,100.0,1.0,1.0,1.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,
implies,3,3,3,100.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,
is_even,3,3,3,100.0,1.0,1.0,1.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,
list_len,3,3,3,100.0,1.0,1.0,1.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,
logic_and,3,3,3,100.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,
logic_or,3,3,3,100.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,
logic_xor,3,3,3,100.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,
max_value,3,3,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,1.0
min_value,3,3,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,1.0
not_value,3,3,3,100.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,
remove_space,3,3,3,100.0,1.0,1.0,1.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,
ret_first_item,3,3,1,33.333333333333336,0.3333333333333333,1.0,1.0,1.0,0.0,33.333333333333336,66.66666666666667,1.0,0.0,0.0,0.0,1.0
reverse_str,3,3,3,100.0,1.0,1.0,1.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,
rmv_duplicates,3,3,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,1.0
sign_label,3,3,3,100.0,1.0,1.0,1.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,
sum_list,3,3,3,100.0,1.0,1.0,1.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,
sum_two,3,3,3,100.0,1.0,1.0,1.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,
uppercase_str,3,3,3,100.0,1.0,1.0,1.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,
