callable,episodes,played_episodes,correct_guesses,avg_quality_score,avg_binary_accuracy,avg_efficiency,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_passed_test_cases,avg_failed_test_cases,avg_internal_consistency_score,avg_violated_request_count,avg_runtime_error_count,avg_parse_error_count,avg_internal_consistency_score_on_failed
abs_diff,5,5,1,6.666666666666666,0.2,0.06666666666666667,5.6,0.37333333333333335,9.4,20.0,80.0,0.2,0.6,0.0,0.6,0.0
absolute_value,5,5,1,6.666666666666666,0.2,0.06666666666666667,6.0,0.4,9.0,20.0,80.0,0.2,0.4,0.0,0.4,0.0
add_exclamation,5,5,0,0.0,0.0,0.06666666666666667,6.0,0.4,9.0,0.0,100.0,0.2,0.6,0.0,0.6,0.2
add_one,5,5,0,0.0,0.0,0.10666666666666666,5.8,0.38666666666666666,9.2,0.0,100.0,0.3,0.6,0.0,0.6,0.3
clamp_to_0_9,5,5,0,0.0,0.0,0.10666666666666666,5.8,0.38666666666666666,9.2,0.0,100.0,0.4,0.4,0.0,0.4,0.4
count_zeros,5,5,0,0.0,0.0,0.06666666666666667,6.0,0.4,9.0,0.0,100.0,0.175,0.6,0.0,0.6,0.175
first_char,5,5,0,0.0,0.0,0.06666666666666667,5.8,0.38666666666666666,9.2,0.0,100.0,0.2,0.6,0.0,0.6,0.2
first_minus_second,5,5,1,8.0,0.2,0.08,5.0,0.3333333333333333,10.0,20.0,80.0,0.2,0.6,0.0,0.6,0.0
implies,5,5,0,0.0,0.0,0.10666666666666666,4.4,0.29333333333333333,10.6,0.0,4.0,0.15,0.4,0.0,0.4,0.15
is_even,5,5,2,14.666666666666666,0.4,0.14666666666666667,5.2,0.3466666666666667,9.8,40.0,60.0,0.4,0.6,0.0,0.6,0.0
list_len,5,5,0,0.0,0.0,0.05333333333333333,6.2,0.4133333333333334,8.8,0.0,100.0,0.1,0.8,0.0,0.8,0.1
logic_and,5,5,0,0.0,0.0,0.10666666666666666,3.4,0.22666666666666666,11.6,0.0,4.0,0.15,0.6,0.0,0.6,0.15
logic_or,5,5,1,12.0,0.2,0.12,4.8,0.32,10.2,0.8,3.2,0.2,0.6,0.0,0.6,0.0
logic_xor,5,5,0,0.0,0.0,0.13333333333333333,4.0,0.26666666666666666,11.0,0.0,4.0,0.15,0.6,0.0,0.6,0.15
max_value,5,5,0,0.0,0.0,0.05333333333333333,6.2,0.4133333333333334,8.8,0.0,100.0,0.2,0.6,0.0,0.6,0.2
min_value,5,5,0,0.0,0.0,0.05333333333333333,6.2,0.4133333333333334,8.8,0.0,100.0,0.2,0.8,0.0,0.8,0.2
not_value,5,5,1,16.0,0.2,0.16,2.6,0.1733333333333333,12.4,0.4,1.6,0.2,0.4,0.0,0.4,0.0
remove_space,5,5,1,6.666666666666666,0.2,0.06666666666666667,6.0,0.4,9.0,20.0,80.0,0.2,0.6,0.0,0.6,0.0
ret_first_item,5,5,1,8.0,0.2,0.08,5.8,0.38666666666666666,9.2,20.0,80.0,0.2,0.6,0.0,0.6,0.0
reverse_str,5,5,1,10.666666666666668,0.2,0.10666666666666666,4.4,0.29333333333333333,10.6,20.0,80.0,0.2,0.6,0.0,0.6,0.0
rmv_duplicates,5,5,1,6.666666666666666,0.2,0.06666666666666667,5.6,0.37333333333333335,9.4,20.0,80.0,0.2,0.6,0.0,0.6,0.0
sign_label,5,5,0,0.0,0.0,0.09333333333333334,6.0,0.4,9.0,0.0,100.0,0.4,0.6,0.0,0.6,0.4
sum_list,5,5,1,9.333333333333332,0.2,0.09333333333333334,5.6,0.37333333333333335,9.4,20.0,80.0,0.2,0.6,0.0,0.6,0.0
sum_two,5,5,1,8.0,0.2,0.08,5.2,0.3466666666666667,9.8,20.0,80.0,0.2,0.6,0.0,0.6,0.0
uppercase_str,5,5,1,6.666666666666666,0.2,0.06666666666666667,4.8,0.32,10.2,20.0,80.0,0.2,0.6,0.0,0.6,0.0
