callable,episodes,played_episodes,correct_guesses,avg_quality_score,avg_binary_accuracy,avg_efficiency,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_passed_test_cases,avg_failed_test_cases,avg_internal_consistency_score,avg_violated_request_count,avg_runtime_error_count,avg_parse_error_count,avg_internal_consistency_score_on_failed
abs_diff,1,1,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,11.0,0.0,11.0,0.0
absolute_value,1,1,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,8.0,0.0,8.0,0.0
add_exclamation,1,1,1,73.33333333333333,1.0,0.7333333333333333,15.0,1.0,0.0,100.0,0.0,1.0,9.0,0.0,9.0,
add_one,1,1,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,10.0,0.0,10.0,0.0
clamp_to_0_9,1,1,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,10.0,0.0,10.0,0.0
count_zeros,1,1,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,10.0,0.0,10.0,0.0
first_char,1,1,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,11.0,0.0,11.0,0.0
first_minus_second,1,1,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,12.0,0.0,12.0,0.0
implies,1,1,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,4.0,0.0,12.0,0.0,12.0,0.0
is_even,1,1,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,9.0,0.0,9.0,0.0
list_len,1,1,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,11.0,0.0,11.0,0.0
logic_and,1,1,1,80.0,1.0,0.8,13.0,0.8666666666666667,2.0,4.0,0.0,1.0,8.0,0.0,8.0,
logic_or,1,1,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,4.0,0.0,11.0,0.0,11.0,0.0
logic_xor,1,1,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,4.0,0.0,12.0,0.0,12.0,0.0
max_value,1,1,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,12.0,0.0,12.0,0.0
min_value,1,1,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,11.0,0.0,11.0,0.0
not_value,1,1,1,93.33333333333333,1.0,0.9333333333333333,5.0,0.3333333333333333,10.0,2.0,0.0,1.0,2.0,0.0,2.0,
remove_space,1,1,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,10.0,0.0,10.0,0.0
ret_first_item,1,1,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,13.0,0.0,13.0,0.0
reverse_str,1,1,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,14.0,0.0,14.0,0.0
rmv_duplicates,1,1,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,11.0,0.0,11.0,0.0
sign_label,1,1,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,10.0,0.0,10.0,0.0
sum_list,1,1,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,13.0,0.0,13.0,0.0
sum_two,1,1,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,13.0,0.0,13.0,0.0
uppercase_str,1,1,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,11.0,0.0,11.0,0.0
