model,mode,domain,experiment,callable,game_id,quality_score,binary_accuracy,efficiency_raw,guess_turn,budget_used_ratio,remaining_turn_budget,tolerance_used,n_test_cases,passed_test_cases,failed_test_cases
gpt-4.1-nano,active_inputs,numbers,numbers_active_inputs,absolute_value,0,0.0,0,0.0,15,1.0,0,0,100,0,100
gpt-4.1-nano,active_inputs,numbers,numbers_active_inputs,add_one,6,0.0,0,0.0,15,1.0,0,0,100,0,100
gpt-4.1-nano,active_inputs,numbers,numbers_active_inputs,clamp_to_0_9,12,0.0,0,0.0,15,1.0,0,0,100,0,100
gpt-4.1-nano,active_inputs,numbers,numbers_active_inputs,is_even,18,66.66666666666666,1,0.6666666666666666,8,0.5333333333333333,7,1,100,100,0
gpt-4.1-nano,active_inputs,numbers,numbers_active_inputs,sign_label,24,33.33333333333333,1,0.3333333333333333,14,0.9333333333333333,1,1,100,100,0
gpt-4.1-nano,active_inputs,two_numbers,two_numbers_active_inputs,min_value,30,0.0,0,0.6666666666666666,8,0.5333333333333333,7,1,100,0,100
gpt-4.1-nano,active_inputs,two_numbers,two_numbers_active_inputs,max_value,36,46.666666666666664,1,0.4666666666666667,11,0.7333333333333333,4,1,100,100,0
gpt-4.1-nano,active_inputs,two_numbers,two_numbers_active_inputs,sum_two,42,40.0,1,0.4,11,0.7333333333333333,4,1,100,100,0
gpt-4.1-nano,active_inputs,two_numbers,two_numbers_active_inputs,abs_diff,48,0.0,0,0.6,9,0.6,6,1,100,0,100
gpt-4.1-nano,active_inputs,two_numbers,two_numbers_active_inputs,first_minus_second,54,0.0,0,0.6,9,0.6,6,1,100,0,100
gpt-4.1-nano,active_inputs,string,string_active_inputs,reverse_str,60,73.33333333333333,1,0.7333333333333333,6,0.4,9,1,100,100,0
gpt-4.1-nano,active_inputs,string,string_active_inputs,first_char,66,0.0,0,0.7333333333333333,7,0.4666666666666667,8,1,100,0,100
gpt-4.1-nano,active_inputs,string,string_active_inputs,add_exclamation,72,80.0,1,0.8,6,0.4,9,1,100,100,0
gpt-4.1-nano,active_inputs,string,string_active_inputs,uppercase_str,78,80.0,1,0.8,6,0.4,9,1,100,100,0
gpt-4.1-nano,active_inputs,string,string_active_inputs,remove_space,84,0.0,0,0.7333333333333333,7,0.4666666666666667,8,1,100,0,100
gpt-4.1-nano,active_inputs,list,list_active_inputs,list_len,90,0.0,0,0.7333333333333333,6,0.4,9,1,100,0,100
gpt-4.1-nano,active_inputs,list,list_active_inputs,ret_first_item,96,0.0,0,0.7333333333333333,6,0.4,9,1,100,0,100
gpt-4.1-nano,active_inputs,list,list_active_inputs,sum_list,102,46.666666666666664,1,0.4666666666666667,10,0.6666666666666666,5,1,100,100,0
gpt-4.1-nano,active_inputs,list,list_active_inputs,count_zeros,108,60.0,1,0.6,9,0.6,6,1,100,100,0
gpt-4.1-nano,active_inputs,list,list_active_inputs,rmv_duplicates,114,0.0,0,0.8,5,0.3333333333333333,10,1,100,0,100
gpt-4.1-nano,active_inputs,logic,logic_active_inputs,logic_and,120,80.0,1,0.8,5,0.3333333333333333,10,1,4,4,0
gpt-4.1-nano,active_inputs,logic,logic_active_inputs,logic_or,126,80.0,1,0.8,5,0.3333333333333333,10,1,4,4,0
gpt-4.1-nano,active_inputs,logic,logic_active_inputs,logic_xor,132,0.0,0,0.8,5,0.3333333333333333,10,1,4,0,4
gpt-4.1-nano,active_inputs,logic,logic_active_inputs,not_value,138,80.0,1,0.8,6,0.4,9,1,2,2,0
gpt-4.1-nano,active_inputs,logic,logic_active_inputs,implies,144,0.0,0,0.8,5,0.3333333333333333,10,1,4,0,4
