model,domain,guess_outcome,episodes,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_quality_score
Qwen3.6-35B-A3B-FP8,numbers,wrong,5,1.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8,two_numbers,wrong,5,1.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8,string,wrong,5,1.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8,list,wrong,5,1.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8,logic,wrong,5,1.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,numbers,right,3,1.0,1.0,0.0,100.0
Qwen3.6-35B-A3B-FP8-without-reasoning,numbers,wrong,2,1.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,two_numbers,right,1,1.0,1.0,0.0,100.0
Qwen3.6-35B-A3B-FP8-without-reasoning,two_numbers,wrong,4,1.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,string,right,5,1.0,1.0,0.0,100.0
Qwen3.6-35B-A3B-FP8-without-reasoning,list,right,1,1.0,1.0,0.0,100.0
Qwen3.6-35B-A3B-FP8-without-reasoning,list,wrong,4,1.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,logic,right,4,1.0,1.0,0.0,100.0
Qwen3.6-35B-A3B-FP8-without-reasoning,logic,wrong,1,1.0,1.0,0.0,0.0
gpt-4.1-2025-04-14,numbers,wrong,5,1.0,1.0,0.0,0.0
gpt-4.1-2025-04-14,two_numbers,wrong,5,1.0,1.0,0.0,0.0
gpt-4.1-2025-04-14,string,wrong,5,1.0,1.0,0.0,0.0
gpt-4.1-2025-04-14,list,wrong,5,1.0,1.0,0.0,0.0
gpt-4.1-2025-04-14,logic,wrong,5,1.0,1.0,0.0,0.0
gpt-4.1-mini,numbers,wrong,5,1.0,1.0,0.0,0.0
gpt-4.1-mini,two_numbers,wrong,5,1.0,1.0,0.0,0.0
gpt-4.1-mini,string,wrong,5,1.0,1.0,0.0,0.0
gpt-4.1-mini,list,wrong,5,1.0,1.0,0.0,0.0
gpt-4.1-mini,logic,wrong,5,1.0,1.0,0.0,0.0
gpt-4.1-nano,numbers,right,3,1.0,1.0,0.0,100.0
gpt-4.1-nano,numbers,wrong,2,1.0,1.0,0.0,0.0
gpt-4.1-nano,two_numbers,right,2,1.0,1.0,0.0,100.0
gpt-4.1-nano,two_numbers,wrong,3,1.0,1.0,0.0,0.0
gpt-4.1-nano,string,right,5,1.0,1.0,0.0,100.0
gpt-4.1-nano,list,right,2,1.0,1.0,0.0,100.0
gpt-4.1-nano,list,wrong,3,1.0,1.0,0.0,0.0
gpt-4.1-nano,logic,right,5,1.0,1.0,0.0,100.0
