model,domain,guess_outcome,episodes,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_quality_score
gpt-4.1-mini,numbers,right,2,11.5,0.7666666666666666,3.5,36.666666666666664
gpt-4.1-mini,numbers,wrong,3,15.0,1.0,0.0,0.0
gpt-4.1-mini,two_numbers,right,2,11.5,0.7666666666666666,3.5,36.666666666666664
gpt-4.1-mini,two_numbers,wrong,3,15.0,1.0,0.0,0.0
gpt-4.1-mini,string,right,2,10.5,0.7,4.5,43.33333333333333
gpt-4.1-mini,string,wrong,3,15.0,1.0,0.0,0.0
gpt-4.1-mini,list,right,3,12.666666666666666,0.8444444444444444,2.3333333333333335,28.888888888888886
gpt-4.1-mini,list,wrong,2,13.5,0.9,1.5,0.0
gpt-4.1-mini,logic,right,2,9.5,0.6333333333333333,5.5,50.0
gpt-4.1-mini,logic,wrong,3,10.333333333333334,0.6888888888888888,4.666666666666667,0.0
gpt-4.1-nano,numbers,wrong,5,11.0,0.7333333333333334,4.0,0.0
gpt-4.1-nano,two_numbers,right,2,7.5,0.5,7.5,86.66666666666666
gpt-4.1-nano,two_numbers,wrong,3,8.333333333333334,0.5555555555555555,6.666666666666667,0.0
gpt-4.1-nano,string,wrong,5,11.0,0.7333333333333333,4.0,0.0
gpt-4.1-nano,list,wrong,5,7.0,0.4666666666666666,8.0,0.0
gpt-4.1-nano,logic,right,1,8.0,0.5333333333333333,7.0,80.0
gpt-4.1-nano,logic,wrong,4,7.25,0.48333333333333334,7.75,0.0
gpt-5-nano,numbers,wrong,5,2.0,0.13333333333333333,13.0,0.0
gpt-5-nano,two_numbers,wrong,5,1.6,0.10666666666666666,13.4,0.0
gpt-5-nano,string,right,1,1.0,0.06666666666666667,14.0,100.0
gpt-5-nano,string,wrong,4,2.0,0.13333333333333333,13.0,0.0
gpt-5-nano,list,wrong,5,1.8,0.12,13.2,0.0
gpt-5-nano,logic,wrong,5,4.0,0.26666666666666666,11.0,0.0
