model,mode,domain,experiment,callable,game_id,quality_score,binary_accuracy,efficiency_raw,guess_turn,budget_used_ratio,remaining_turn_budget,tolerance_used,n_test_cases,passed_test_cases,failed_test_cases
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,numbers,numbers_active_inputs,absolute_value,0,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,numbers,numbers_active_inputs,add_one,6,33.33333333333333,1,0.3333333333333333,13,0.8666666666666667,2,1,100,100,0
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,numbers,numbers_active_inputs,clamp_to_0_9,12,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,numbers,numbers_active_inputs,is_even,18,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,numbers,numbers_active_inputs,sign_label,24,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,two_numbers,two_numbers_active_inputs,min_value,30,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,two_numbers,two_numbers_active_inputs,max_value,36,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,two_numbers,two_numbers_active_inputs,sum_two,42,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,two_numbers,two_numbers_active_inputs,abs_diff,48,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,two_numbers,two_numbers_active_inputs,first_minus_second,54,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,string,string_active_inputs,reverse_str,60,46.666666666666664,1,0.4666666666666667,11,0.7333333333333333,4,1,100,100,0
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,string,string_active_inputs,first_char,66,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,string,string_active_inputs,add_exclamation,72,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,string,string_active_inputs,uppercase_str,78,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,string,string_active_inputs,remove_space,84,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,list,list_active_inputs,list_len,90,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,list,list_active_inputs,ret_first_item,96,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,list,list_active_inputs,sum_list,102,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,list,list_active_inputs,count_zeros,108,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,list,list_active_inputs,rmv_duplicates,114,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,logic,logic_active_inputs,logic_and,120,80.0,1,0.8,7,0.4666666666666667,8,1,4,4,0
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,logic,logic_active_inputs,logic_or,126,80.0,1,0.8,7,0.4666666666666667,8,1,4,4,0
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,logic,logic_active_inputs,logic_xor,132,80.0,1,0.8,7,0.4666666666666667,8,1,4,4,0
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,logic,logic_active_inputs,not_value,138,80.0,1,0.8,7,0.4666666666666667,8,1,2,2,0
Qwen3.6-35B-A3B-FP8-without-reasoning,active_inputs,logic,logic_active_inputs,implies,144,80.0,1,0.8,7,0.4666666666666667,8,1,4,4,0
