callable,episodes,played_episodes,correct_guesses,avg_quality_score,avg_binary_accuracy,avg_efficiency,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_passed_test_cases,avg_failed_test_cases,avg_internal_consistency_score,avg_violated_request_count,avg_runtime_error_count,avg_parse_error_count,avg_internal_consistency_score_on_failed
abs_diff,3,3,2,40.0,0.6666666666666666,0.7333333333333334,7.333333333333333,0.4888888888888889,7.666666666666667,66.66666666666667,33.333333333333336,1.0,1.3333333333333333,0.0,1.3333333333333333,1.0
absolute_value,3,3,1,11.111111111111109,0.3333333333333333,0.6888888888888888,8.666666666666666,0.5777777777777778,6.333333333333333,33.333333333333336,66.66666666666667,0.5555555555555555,2.0,0.0,2.0,0.3333333333333333
add_exclamation,3,3,1,17.77777777777778,0.3333333333333333,0.8888888888888888,6.333333333333333,0.4222222222222222,8.666666666666666,33.333333333333336,66.66666666666667,0.3333333333333333,2.6666666666666665,0.0,2.6666666666666665,0.0
add_one,3,3,0,0.0,0.0,0.6222222222222222,8.666666666666666,0.5777777777777778,6.333333333333333,0.0,100.0,0.0,1.6666666666666667,0.0,1.6666666666666667,0.0
clamp_to_0_9,3,3,0,0.0,0.0,0.4666666666666666,9.666666666666666,0.6444444444444445,5.333333333333333,0.0,100.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666
count_zeros,3,3,1,6.666666666666667,0.3333333333333333,0.7111111111111111,6.666666666666667,0.4444444444444444,8.333333333333334,33.333333333333336,66.66666666666667,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
first_char,3,3,0,0.0,0.0,0.6666666666666666,7.333333333333333,0.48888888888888893,7.666666666666667,0.0,100.0,0.0,1.0,0.0,1.0,0.0
first_minus_second,3,3,1,31.11111111111111,0.3333333333333333,0.6444444444444445,7.666666666666667,0.5111111111111112,7.333333333333333,33.333333333333336,66.66666666666667,0.3333333333333333,1.0,0.0,1.0,0.0
implies,3,3,0,0.0,0.0,0.688888888888889,8.0,0.5333333333333333,7.0,0.0,4.0,0.6666666666666666,1.3333333333333333,0.0,1.3333333333333333,0.6666666666666666
is_even,3,3,1,13.333333333333334,0.3333333333333333,0.7333333333333334,8.0,0.5333333333333333,7.0,33.333333333333336,66.66666666666667,0.8333333333333334,2.0,0.0,2.0,0.75
list_len,3,3,1,11.111111111111109,0.3333333333333333,0.7333333333333334,6.333333333333333,0.4222222222222222,8.666666666666666,33.333333333333336,66.66666666666667,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
logic_and,3,3,1,26.666666666666668,0.3333333333333333,0.8666666666666667,5.333333333333333,0.35555555555555557,9.666666666666666,1.3333333333333333,2.6666666666666665,0.75,1.3333333333333333,0.0,1.3333333333333333,0.625
logic_or,3,3,0,0.0,0.0,0.7333333333333334,7.333333333333333,0.48888888888888893,7.666666666666667,0.0,4.0,0.6833333333333332,1.3333333333333333,0.0,1.3333333333333333,0.6833333333333332
logic_xor,3,3,2,33.333333333333336,0.6666666666666666,0.5333333333333333,10.333333333333334,0.6888888888888888,4.666666666666667,2.6666666666666665,1.3333333333333333,0.8666666666666667,1.3333333333333333,0.0,1.3333333333333333,0.6
max_value,3,3,0,0.0,0.0,0.6444444444444445,8.333333333333334,0.5555555555555556,6.666666666666667,0.0,100.0,0.6666666666666666,1.6666666666666667,0.0,1.6666666666666667,0.6666666666666666
min_value,3,3,0,0.0,0.0,0.6444444444444445,8.666666666666666,0.5777777777777778,6.333333333333333,0.0,100.0,0.0,2.0,0.0,2.0,0.0
not_value,3,3,0,0.0,0.0,0.8444444444444444,4.666666666666667,0.3111111111111111,10.333333333333334,0.0,2.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
remove_space,3,3,0,0.0,0.0,0.26666666666666666,11.666666666666666,0.7777777777777778,3.3333333333333335,0.0,100.0,0.3333333333333333,4.666666666666667,0.0,4.666666666666667,0.3333333333333333
ret_first_item,3,3,0,0.0,0.0,0.5555555555555555,10.333333333333334,0.688888888888889,4.666666666666667,0.0,100.0,0.0,2.3333333333333335,0.0,2.3333333333333335,0.0
reverse_str,3,3,1,33.333333333333336,0.3333333333333333,0.35555555555555557,10.333333333333334,0.688888888888889,4.666666666666667,33.333333333333336,66.66666666666667,0.3333333333333333,2.6666666666666665,0.0,2.6666666666666665,0.0
rmv_duplicates,3,3,0,0.0,0.0,0.7999999999999999,7.0,0.46666666666666673,8.0,0.0,100.0,0.1111111111111111,2.0,0.0,2.0,0.1111111111111111
sign_label,3,3,0,0.0,0.0,0.6444444444444444,9.333333333333334,0.6222222222222222,5.666666666666667,0.0,100.0,0.3333333333333333,2.0,0.0,2.0,0.3333333333333333
sum_list,3,3,1,11.111111111111109,0.3333333333333333,0.7555555555555555,6.0,0.39999999999999997,9.0,33.333333333333336,66.66666666666667,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
sum_two,3,3,1,11.111111111111109,0.3333333333333333,0.7333333333333334,6.666666666666667,0.4444444444444445,8.333333333333334,33.333333333333336,66.66666666666667,0.5833333333333334,0.6666666666666666,0.0,0.6666666666666666,0.375
uppercase_str,3,3,1,11.111111111111109,0.3333333333333333,0.7333333333333334,7.666666666666667,0.5111111111111112,7.333333333333333,33.333333333333336,66.66666666666667,0.3333333333333333,1.6666666666666667,0.0,1.6666666666666667,0.0
