model,domain,guess_outcome,episodes,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_quality_score
Qwen3.6-35B-A3B-FP8,numbers,wrong,5,15.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8,two_numbers,wrong,5,15.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8,string,wrong,5,15.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8,list,wrong,5,15.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8,logic,wrong,5,15.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,numbers,wrong,5,15.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,two_numbers,right,1,15.0,1.0,0.0,26.666666666666668
Qwen3.6-35B-A3B-FP8-without-reasoning,two_numbers,wrong,4,15.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,string,right,2,11.5,0.7666666666666666,3.5,46.666666666666664
Qwen3.6-35B-A3B-FP8-without-reasoning,string,wrong,3,15.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,list,right,1,9.0,0.6,6.0,60.0
Qwen3.6-35B-A3B-FP8-without-reasoning,list,wrong,4,15.0,1.0,0.0,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,logic,right,1,6.0,0.4,9.0,80.0
Qwen3.6-35B-A3B-FP8-without-reasoning,logic,wrong,4,11.5,0.7666666666666666,3.5,0.0
gpt-4.1-2025-04-14,numbers,right,2,13.0,0.8666666666666667,2.0,26.666666666666668
gpt-4.1-2025-04-14,numbers,wrong,3,12.333333333333334,0.8222222222222223,2.6666666666666665,0.0
gpt-4.1-2025-04-14,two_numbers,right,3,12.666666666666666,0.8444444444444444,2.3333333333333335,28.88888888888889
gpt-4.1-2025-04-14,two_numbers,wrong,2,13.5,0.9,1.5,0.0
gpt-4.1-2025-04-14,string,right,2,12.5,0.8333333333333333,2.5,30.0
gpt-4.1-2025-04-14,string,wrong,3,13.666666666666666,0.9111111111111111,1.3333333333333333,0.0
gpt-4.1-2025-04-14,list,right,2,13.0,0.8666666666666667,2.0,26.666666666666668
gpt-4.1-2025-04-14,list,wrong,3,12.333333333333334,0.8222222222222223,2.6666666666666665,0.0
gpt-4.1-2025-04-14,logic,right,1,10.0,0.6666666666666666,5.0,46.666666666666664
gpt-4.1-2025-04-14,logic,wrong,4,11.25,0.75,3.75,0.0
gpt-4.1-mini,numbers,right,2,11.5,0.7666666666666666,3.5,36.666666666666664
gpt-4.1-mini,numbers,wrong,3,11.333333333333334,0.7555555555555555,3.6666666666666665,0.0
gpt-4.1-mini,two_numbers,right,3,12.333333333333334,0.8222222222222223,2.6666666666666665,33.333333333333336
gpt-4.1-mini,two_numbers,wrong,2,14.0,0.9333333333333333,1.0,0.0
gpt-4.1-mini,string,right,5,12.8,0.8533333333333333,2.2,29.333333333333332
gpt-4.1-mini,list,right,1,11.0,0.7333333333333333,4.0,40.0
gpt-4.1-mini,list,wrong,4,12.25,0.8166666666666667,2.75,0.0
gpt-4.1-mini,logic,right,2,9.0,0.6,6.0,53.333333333333336
gpt-4.1-mini,logic,wrong,3,8.0,0.5333333333333333,7.0,0.0
gpt-4.1-nano,numbers,wrong,5,9.4,0.6266666666666667,5.6,0.0
gpt-4.1-nano,two_numbers,right,2,12.5,0.8333333333333333,2.5,33.333333333333336
gpt-4.1-nano,two_numbers,wrong,3,12.333333333333334,0.8222222222222223,2.6666666666666665,0.0
gpt-4.1-nano,string,right,1,11.0,0.7333333333333333,4.0,40.0
gpt-4.1-nano,string,wrong,4,14.0,0.9333333333333333,1.0,0.0
gpt-4.1-nano,list,wrong,5,9.0,0.6,6.0,0.0
gpt-4.1-nano,logic,right,2,4.5,0.3,10.5,83.33333333333334
gpt-4.1-nano,logic,wrong,3,5.333333333333333,0.35555555555555557,9.666666666666666,0.0
