results_dir,model,mode,domain,experiment,callable,game_id,played,round_count,success,lose,aborted,main_score,quality_score,request_count,parsed_request_count,violated_request_count,parse_error_count,runtime_error_count,internal_consistency_score,internal_consistency_violations,turns_used,max_turns,efficiency_raw,tolerance_used,baseline_kind,n_test_cases_logged,instance_path,scores_path,experiment_path,interactions_path,n_test_cases,correct_guess,binary_accuracy,passed_test_cases,failed_test_cases,pass_rate,closeness_bucket,failure_reason,observed_pair_consistency,guess_turn,budget_used_ratio,remaining_turn_budget,guess_outcome,is_oneshot,is_interactive
results_active_pair_checks,gpt-4.1-mini,active_pair_checks,numbers,numbers_active_pair_checks,absolute_value,2,True,12,True,False,False,33.33333333333333,33.33333333333333,12,12,0,0,0,1.0,0,11,15,0.3333333333333333,1,,100,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/numbers_active_pair_checks/instance_00002/instance.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/numbers_active_pair_checks/instance_00002/scores.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/numbers_active_pair_checks/experiment.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/numbers_active_pair_checks/instance_00002/interactions.json,100,True,1,100,0,1.0,exact,correct_guess,1.0,12,0.8,3,right,False,True
results_active_pair_checks,gpt-4.1-mini,active_pair_checks,numbers,numbers_active_pair_checks,add_one,8,True,15,False,True,False,0.0,0.0,15,15,0,0,0,0.0,0,15,15,0.0,0,,100,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/numbers_active_pair_checks/instance_00008/instance.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/numbers_active_pair_checks/instance_00008/scores.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/numbers_active_pair_checks/experiment.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/numbers_active_pair_checks/instance_00008/interactions.json,100,False,0,0,100,0.0,failure,wrong_function_guess,0.0,15,1.0,0,wrong,False,True
results_active_pair_checks,gpt-4.1-mini,active_pair_checks,numbers,numbers_active_pair_checks,clamp_to_0_9,14,True,15,False,True,False,0.0,0.0,15,15,0,0,0,0.0,0,15,15,0.0,0,,100,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/numbers_active_pair_checks/instance_00014/instance.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/numbers_active_pair_checks/instance_00014/scores.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/numbers_active_pair_checks/experiment.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/numbers_active_pair_checks/instance_00014/interactions.json,100,False,0,0,100,0.0,failure,wrong_function_guess,0.0,15,1.0,0,wrong,False,True
results_active_pair_checks,gpt-4.1-mini,active_pair_checks,numbers,numbers_active_pair_checks,is_even,20,True,11,True,False,False,40.0,40.0,11,11,0,0,0,1.0,0,10,15,0.4,1,,100,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/numbers_active_pair_checks/instance_00020/instance.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/numbers_active_pair_checks/instance_00020/scores.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/numbers_active_pair_checks/experiment.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/numbers_active_pair_checks/instance_00020/interactions.json,100,True,1,100,0,1.0,exact,correct_guess,1.0,11,0.7333333333333333,4,right,False,True
results_active_pair_checks,gpt-4.1-mini,active_pair_checks,numbers,numbers_active_pair_checks,sign_label,26,True,15,False,True,False,0.0,0.0,15,15,0,0,0,1.0,0,14,15,0.13333333333333333,1,,100,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/numbers_active_pair_checks/instance_00026/instance.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/numbers_active_pair_checks/instance_00026/scores.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/numbers_active_pair_checks/experiment.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/numbers_active_pair_checks/instance_00026/interactions.json,100,False,0,0,100,0.0,failure,wrong_function_guess,1.0,15,1.0,0,wrong,False,True
results_active_pair_checks,gpt-4.1-mini,active_pair_checks,two_numbers,two_numbers_active_pair_checks,min_value,32,True,15,False,True,False,0.0,0.0,15,15,0,0,0,0.0,0,15,15,0.0,0,,100,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/two_numbers_active_pair_checks/instance_00032/instance.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/two_numbers_active_pair_checks/instance_00032/scores.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/two_numbers_active_pair_checks/experiment.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/two_numbers_active_pair_checks/instance_00032/interactions.json,100,False,0,0,100,0.0,failure,wrong_function_guess,0.0,15,1.0,0,wrong,False,True
results_active_pair_checks,gpt-4.1-mini,active_pair_checks,two_numbers,two_numbers_active_pair_checks,max_value,38,True,15,False,True,False,0.0,0.0,15,15,0,0,0,0.0,0,15,15,0.0,0,,100,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/two_numbers_active_pair_checks/instance_00038/instance.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/two_numbers_active_pair_checks/instance_00038/scores.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/two_numbers_active_pair_checks/experiment.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/two_numbers_active_pair_checks/instance_00038/interactions.json,100,False,0,0,100,0.0,failure,wrong_function_guess,0.0,15,1.0,0,wrong,False,True
results_active_pair_checks,gpt-4.1-mini,active_pair_checks,two_numbers,two_numbers_active_pair_checks,sum_two,44,True,12,True,False,False,33.33333333333333,33.33333333333333,12,12,0,0,0,1.0,0,11,15,0.3333333333333333,1,,100,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/two_numbers_active_pair_checks/instance_00044/instance.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/two_numbers_active_pair_checks/instance_00044/scores.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/two_numbers_active_pair_checks/experiment.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/two_numbers_active_pair_checks/instance_00044/interactions.json,100,True,1,100,0,1.0,exact,correct_guess,1.0,12,0.8,3,right,False,True
results_active_pair_checks,gpt-4.1-mini,active_pair_checks,two_numbers,two_numbers_active_pair_checks,abs_diff,50,True,11,True,False,False,40.0,40.0,11,11,0,0,0,1.0,0,10,15,0.4,1,,100,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/two_numbers_active_pair_checks/instance_00050/instance.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/two_numbers_active_pair_checks/instance_00050/scores.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/two_numbers_active_pair_checks/experiment.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/two_numbers_active_pair_checks/instance_00050/interactions.json,100,True,1,100,0,1.0,exact,correct_guess,1.0,11,0.7333333333333333,4,right,False,True
results_active_pair_checks,gpt-4.1-mini,active_pair_checks,two_numbers,two_numbers_active_pair_checks,first_minus_second,56,True,15,False,True,False,0.0,0.0,15,15,0,0,0,0.0,0,15,15,0.0,0,,100,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/two_numbers_active_pair_checks/instance_00056/instance.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/two_numbers_active_pair_checks/instance_00056/scores.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/two_numbers_active_pair_checks/experiment.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results_active_pair_checks/function_detective/gpt-4.1-mini/active_pair_checks/two_numbers_active_pair_checks/instance_00056/interactions.json,100,False,0,0,100,0.0,failure,wrong_function_guess,0.0,15,1.0,0,wrong,False,True
