callable,episodes,played_episodes,correct_guesses,avg_quality_score,avg_binary_accuracy,avg_efficiency,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_passed_test_cases,avg_failed_test_cases,avg_internal_consistency_score,avg_violated_request_count,avg_runtime_error_count,avg_parse_error_count,avg_internal_consistency_score_on_failed
abs_diff,5,5,1,20.0,0.2,0.4,1.0,1.0,0.0,20.0,80.0,0.4,0.6,0.0,0.6,0.25
absolute_value,5,5,2,40.0,0.4,0.4,1.0,1.0,0.0,40.0,60.0,0.4,0.6,0.0,0.6,0.0
add_exclamation,5,5,0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,100.0,0.2,0.8,0.0,0.8,0.2
add_one,5,5,1,20.0,0.2,0.4,1.0,1.0,0.0,20.0,80.0,0.4,0.6,0.0,0.6,0.25
clamp_to_0_9,5,5,0,0.0,0.0,0.6,1.0,1.0,0.0,0.0,100.0,0.6,0.4,0.0,0.4,0.6
count_zeros,5,5,0,0.0,0.0,0.6,1.0,1.0,0.0,0.0,100.0,0.6,0.4,0.0,0.4,0.6
first_char,5,5,1,20.0,0.2,0.4,1.0,1.0,0.0,20.0,80.0,0.4,0.6,0.0,0.6,0.25
first_minus_second,5,5,1,20.0,0.2,0.6,1.0,1.0,0.0,20.0,80.0,0.6,0.4,0.0,0.4,0.5
implies,5,5,0,0.0,0.0,0.8,1.0,1.0,0.0,0.0,4.0,0.8,0.2,0.0,0.2,0.8
is_even,5,5,0,0.0,0.0,0.4,1.0,1.0,0.0,0.0,100.0,0.4,0.6,0.0,0.6,0.4
list_len,5,5,1,20.0,0.2,0.6,1.0,1.0,0.0,20.0,80.0,0.6,0.4,0.0,0.4,0.5
logic_and,5,5,0,0.0,0.0,0.8,1.0,1.0,0.0,0.0,4.0,0.8,0.2,0.0,0.2,0.8
logic_or,5,5,1,20.0,0.2,0.8,1.0,1.0,0.0,0.8,3.2,0.8,0.2,0.0,0.2,0.75
logic_xor,5,5,1,20.0,0.2,0.8,1.0,1.0,0.0,0.8,3.2,0.8,0.2,0.0,0.2,0.75
max_value,5,5,0,0.0,0.0,0.6,1.0,1.0,0.0,0.0,100.0,0.6,0.4,0.0,0.4,0.6
min_value,5,5,0,0.0,0.0,0.4,1.0,1.0,0.0,0.0,100.0,0.4,0.6,0.0,0.6,0.4
not_value,5,5,4,80.0,0.8,0.8,1.0,1.0,0.0,1.6,0.4,0.8,0.2,0.0,0.2,0.0
remove_space,5,5,2,40.0,0.4,0.4,1.0,1.0,0.0,40.0,60.0,0.4,0.6,0.0,0.6,0.0
ret_first_item,5,5,1,20.0,0.2,0.4,1.0,1.0,0.0,20.0,80.0,0.4,0.6,0.0,0.6,0.25
reverse_str,5,5,2,40.0,0.4,0.4,1.0,1.0,0.0,40.0,60.0,0.4,0.6,0.0,0.6,0.0
rmv_duplicates,5,5,0,0.0,0.0,0.6,1.0,1.0,0.0,0.0,100.0,0.6,0.4,0.0,0.4,0.6
sign_label,5,5,1,20.0,0.2,0.6,1.0,1.0,0.0,20.0,80.0,0.6,0.4,0.0,0.4,0.5
sum_list,5,5,3,60.0,0.6,0.8,1.0,1.0,0.0,60.0,40.0,0.8,0.2,0.0,0.2,0.5
sum_two,5,5,3,60.0,0.6,0.6,1.0,1.0,0.0,60.0,40.0,0.6,0.4,0.0,0.4,0.0
uppercase_str,5,5,2,40.0,0.4,0.6,1.0,1.0,0.0,40.0,60.0,0.6,0.4,0.0,0.4,0.3333333333333333
