model,domain,guess_outcome,episodes,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_quality_score
gpt-4.1-mini,numbers,right,2,11.5,0.7666666666666666,3.5,36.666666666666664
gpt-4.1-mini,numbers,wrong,3,15.0,1.0,0.0,0.0
gpt-4.1-mini,two_numbers,right,2,11.5,0.7666666666666666,3.5,36.666666666666664
gpt-4.1-mini,two_numbers,wrong,3,15.0,1.0,0.0,0.0
gpt-4.1-mini,string,right,2,10.5,0.7,4.5,43.33333333333333
gpt-4.1-mini,string,wrong,3,15.0,1.0,0.0,0.0
gpt-4.1-mini,list,right,3,12.666666666666666,0.8444444444444444,2.3333333333333335,28.888888888888886
gpt-4.1-mini,list,wrong,2,13.5,0.9,1.5,0.0
gpt-4.1-mini,logic,right,2,9.5,0.6333333333333333,5.5,50.0
gpt-4.1-mini,logic,wrong,3,10.333333333333334,0.6888888888888888,4.666666666666667,0.0
