model,experiment,category,signature,variant,variant_label,family,task_type,difficulty,callable,game_id,round_count,mean_request_success,Request_Count,Parsed_Request_Count,Violated_Request_Count,Request_Success_Ratio,Aborted,Lose,Success,Main_Score,quality_score,binary_success,accuracy,binary_accuracy,efficiency,efficiency_raw,tolerance_used,n_test_cases,success_rate
gpt-5.4-mini,numbers_active_inputs,NUMBERS,(x: int) -> int,active_inputs,Active I/O,active,io,medium,add_seven_if_negative,18,2,0.5,2,1,1,0.5,False,True,False,0.0,0.0,0,51.0,0.0,100.0,1.0666666666666667,1,100,0.0
gpt-5.4-mini,numbers_active_inputs,NUMBERS,(x: int) -> int,active_inputs,Active I/O,active,io,medium,modulo_of_cube_by_eleven,42,13,0.9230769230769231,13,12,1,0.9230769230769231,False,False,True,33.33333333333333,33.33333333333333,1,100.0,1.0,33.33333333333333,0.3333333333333333,1,100,100.0
gpt-5.4-mini,numbers_active_inputs,NUMBERS,(x: int) -> int,active_inputs,Active I/O,active,io,medium,times_four_mod_nine,30,8,0.875,8,7,1,0.875,False,False,True,66.66666666666666,66.66666666666666,1,100.0,1.0,66.66666666666666,0.6666666666666666,1,100,100.0
gpt-5.4-mini,numbers_active_inputs,NUMBERS,(x: int) -> int,active_inputs,Active I/O,active,io,medium,smallest_divisor_ge_two_abs,6,11,0.9090909090909091,11,10,1,0.9090909090909091,False,True,False,0.0,0.0,0,52.0,0.0,46.666666666666664,0.4666666666666667,1,100,0.0
gpt-5.4-mini,numbers_active_inputs,NUMBERS,(x: int) -> int,active_inputs,Active I/O,active,io,medium,difference_from_reversed_absolute,0,7,0.8571428571428571,7,6,1,0.8571428571428571,False,True,False,0.0,0.0,0,28.000000000000004,0.0,73.33333333333333,0.7333333333333333,1,100,0.0
gpt-5.4-mini,numbers_active_inputs,NUMBERS,(x: int) -> int,active_inputs,Active I/O,active,io,medium,integer_average_with_ten,36,6,0.8333333333333334,6,5,1,0.8333333333333334,False,True,False,0.0,0.0,0,2.0,0.0,80.0,0.8,1,100,0.0
gpt-5.4-mini,numbers_active_inputs,NUMBERS,(x: int) -> int,active_inputs,Active I/O,active,io,medium,absolute_modulus_gap_eleven,54,2,0.5,2,1,1,0.5,False,True,False,0.0,0.0,0,18.0,0.0,100.0,1.0666666666666667,1,100,0.0
gpt-5.4-mini,numbers_active_inputs,NUMBERS,(x: int) -> int,active_inputs,Active I/O,active,io,medium,fibonacci_index_small,48,4,1.0,4,4,0,1.0,False,True,False,0.0,0.0,0,9.0,0.0,86.66666666666667,0.8666666666666667,1,100,0.0
gpt-5.4-mini,numbers_active_inputs,NUMBERS,(x: int) -> int,active_inputs,Active I/O,active,io,medium,max_with_negative_self,24,6,1.0,6,6,0,1.0,False,False,True,73.33333333333333,73.33333333333333,1,100.0,1.0,73.33333333333333,0.7333333333333333,1,100,100.0
gpt-5.4-mini,numbers_active_inputs,NUMBERS,(x: int) -> int,active_inputs,Active I/O,active,io,medium,distance_from_square_of_three,12,5,0.8,5,4,1,0.8,False,True,False,0.0,0.0,0,60.0,0.0,86.66666666666667,0.8666666666666667,1,100,0.0
gpt-5.4-mini,numbers_active_pair_checks,NUMBERS,(x: int) -> int,active_pair_checks,Active Pair-Check,active,membership,medium,absolute_modulus_gap_eleven,56,7,1.0,7,7,0,1.0,False,True,False,0.0,0.0,0,7.000000000000001,0.0,66.66666666666666,0.6666666666666666,1,100,0.0
gpt-5.4-mini,numbers_active_pair_checks,NUMBERS,(x: int) -> int,active_pair_checks,Active Pair-Check,active,membership,medium,difference_from_reversed_absolute,2,2,0.5,2,1,1,0.5,False,True,False,0.0,0.0,0,6.0,0.0,100.0,1.0666666666666667,1,100,0.0
gpt-5.4-mini,numbers_active_pair_checks,NUMBERS,(x: int) -> int,active_pair_checks,Active Pair-Check,active,membership,medium,fibonacci_index_small,50,13,1.0,13,13,0,1.0,False,True,False,0.0,0.0,0,2.0,0.0,26.666666666666668,0.26666666666666666,1,100,0.0
gpt-5.4-mini,numbers_active_pair_checks,NUMBERS,(x: int) -> int,active_pair_checks,Active Pair-Check,active,membership,medium,times_four_mod_nine,32,15,0.9333333333333333,15,14,1,0.9333333333333333,False,True,False,0.0,0.0,0,0.0,0.0,0.0,0.0,0,100,0.0
gpt-5.4-mini,numbers_active_pair_checks,NUMBERS,(x: int) -> int,active_pair_checks,Active Pair-Check,active,membership,medium,max_with_negative_self,26,6,1.0,6,6,0,1.0,False,False,True,73.33333333333333,73.33333333333333,1,100.0,1.0,73.33333333333333,0.7333333333333333,1,100,100.0
gpt-5.4-mini,numbers_active_pair_checks,NUMBERS,(x: int) -> int,active_pair_checks,Active Pair-Check,active,membership,medium,modulo_of_cube_by_eleven,44,5,0.6,5,3,2,0.6,False,True,False,0.0,0.0,0,3.0,0.0,93.33333333333333,0.9333333333333333,1,100,0.0
gpt-5.4-mini,numbers_active_pair_checks,NUMBERS,(x: int) -> int,active_pair_checks,Active Pair-Check,active,membership,medium,add_seven_if_negative,20,6,1.0,6,6,0,1.0,False,True,False,0.0,0.0,0,51.0,0.0,73.33333333333333,0.7333333333333333,1,100,0.0
gpt-5.4-mini,numbers_active_pair_checks,NUMBERS,(x: int) -> int,active_pair_checks,Active Pair-Check,active,membership,medium,smallest_divisor_ge_two_abs,8,15,0.9333333333333333,15,14,1,0.9333333333333333,False,True,False,0.0,0.0,0,0.0,0.0,0.0,0.0,0,100,0.0
gpt-5.4-mini,numbers_active_pair_checks,NUMBERS,(x: int) -> int,active_pair_checks,Active Pair-Check,active,membership,medium,integer_average_with_ten,38,2,0.5,2,1,1,0.5,False,True,False,0.0,0.0,0,1.0,0.0,100.0,1.0666666666666667,1,100,0.0
gpt-5.4-mini,numbers_active_pair_checks,NUMBERS,(x: int) -> int,active_pair_checks,Active Pair-Check,active,membership,medium,distance_from_square_of_three,14,10,0.8,10,8,2,0.8,False,True,False,0.0,0.0,0,60.0,0.0,60.0,0.6,1,100,0.0
gpt-5.4-mini,numbers_passive_examples,NUMBERS,(x: int) -> int,passive_examples,Passive I/O,passive,io,medium,add_seven_if_negative,19,2,0.5,2,1,1,0.5,False,True,False,0.0,0.0,0,51.0,0.0,100.0,1.0666666666666667,1,100,0.0
gpt-5.4-mini,numbers_passive_examples,NUMBERS,(x: int) -> int,passive_examples,Passive I/O,passive,io,medium,modulo_of_cube_by_eleven,43,8,1.0,8,8,0,1.0,False,True,False,0.0,0.0,0,30.0,0.0,60.0,0.6,1,100,0.0
gpt-5.4-mini,numbers_passive_examples,NUMBERS,(x: int) -> int,passive_examples,Passive I/O,passive,io,medium,integer_average_with_ten,37,5,0.8,5,4,1,0.8,False,False,True,86.66666666666667,86.66666666666667,1,100.0,1.0,86.66666666666667,0.8666666666666667,1,100,100.0
gpt-5.4-mini,numbers_passive_examples,NUMBERS,(x: int) -> int,passive_examples,Passive I/O,passive,io,medium,difference_from_reversed_absolute,1,11,1.0,11,11,0,1.0,False,True,False,0.0,0.0,0,32.0,0.0,40.0,0.4,1,100,0.0
gpt-5.4-mini,numbers_passive_examples,NUMBERS,(x: int) -> int,passive_examples,Passive I/O,passive,io,medium,absolute_modulus_gap_eleven,55,6,1.0,6,6,0,1.0,False,True,False,0.0,0.0,0,22.0,0.0,73.33333333333333,0.7333333333333333,1,100,0.0
gpt-5.4-mini,numbers_passive_examples,NUMBERS,(x: int) -> int,passive_examples,Passive I/O,passive,io,medium,smallest_divisor_ge_two_abs,7,2,0.5,2,1,1,0.5,False,True,False,0.0,0.0,0,16.0,0.0,100.0,1.0666666666666667,1,100,0.0
gpt-5.4-mini,numbers_passive_examples,NUMBERS,(x: int) -> int,passive_examples,Passive I/O,passive,io,medium,times_four_mod_nine,31,2,0.5,2,1,1,0.5,False,True,False,0.0,0.0,0,11.0,0.0,100.0,1.0666666666666667,1,100,0.0
gpt-5.4-mini,numbers_passive_examples,NUMBERS,(x: int) -> int,passive_examples,Passive I/O,passive,io,medium,fibonacci_index_small,49,2,0.5,2,1,1,0.5,False,True,False,0.0,0.0,0,9.0,0.0,100.0,1.0666666666666667,1,100,0.0
gpt-5.4-mini,numbers_passive_examples,NUMBERS,(x: int) -> int,passive_examples,Passive I/O,passive,io,medium,distance_from_square_of_three,13,4,1.0,4,4,0,1.0,False,False,True,86.66666666666667,86.66666666666667,1,100.0,1.0,86.66666666666667,0.8666666666666667,1,100,100.0
gpt-5.4-mini,numbers_passive_examples,NUMBERS,(x: int) -> int,passive_examples,Passive I/O,passive,io,medium,max_with_negative_self,25,3,1.0,3,3,0,1.0,False,False,True,93.33333333333333,93.33333333333333,1,100.0,1.0,93.33333333333333,0.9333333333333333,1,100,100.0
gpt-5.4-mini,numbers_passive_labeled_pairs,NUMBERS,(x: int) -> int,passive_labeled_pairs,Passive Pairs,passive,membership,medium,fibonacci_index_small,51,4,1.0,4,4,0,1.0,False,True,False,0.0,0.0,0,4.0,0.0,86.66666666666667,0.8666666666666667,1,100,0.0
gpt-5.4-mini,numbers_passive_labeled_pairs,NUMBERS,(x: int) -> int,passive_labeled_pairs,Passive Pairs,passive,membership,medium,times_four_mod_nine,33,13,1.0,13,13,0,1.0,False,True,False,0.0,0.0,0,0.0,0.0,26.666666666666668,0.26666666666666666,1,100,0.0
gpt-5.4-mini,numbers_passive_labeled_pairs,NUMBERS,(x: int) -> int,passive_labeled_pairs,Passive Pairs,passive,membership,medium,absolute_modulus_gap_eleven,57,7,0.8571428571428571,7,6,1,0.8571428571428571,False,True,False,0.0,0.0,0,18.0,0.0,73.33333333333333,0.7333333333333333,1,100,0.0
gpt-5.4-mini,numbers_passive_labeled_pairs,NUMBERS,(x: int) -> int,passive_labeled_pairs,Passive Pairs,passive,membership,medium,difference_from_reversed_absolute,3,6,1.0,6,6,0,1.0,False,True,False,0.0,0.0,0,15.0,0.0,73.33333333333333,0.7333333333333333,1,100,0.0
gpt-5.4-mini,numbers_passive_labeled_pairs,NUMBERS,(x: int) -> int,passive_labeled_pairs,Passive Pairs,passive,membership,medium,add_seven_if_negative,21,7,0.8571428571428571,7,6,1,0.8571428571428571,False,False,True,73.33333333333333,73.33333333333333,1,100.0,1.0,73.33333333333333,0.7333333333333333,1,100,100.0
gpt-5.4-mini,numbers_passive_labeled_pairs,NUMBERS,(x: int) -> int,passive_labeled_pairs,Passive Pairs,passive,membership,medium,max_with_negative_self,27,7,1.0,7,7,0,1.0,False,False,True,66.66666666666666,66.66666666666666,1,100.0,1.0,66.66666666666666,0.6666666666666666,1,100,100.0
gpt-5.4-mini,numbers_passive_labeled_pairs,NUMBERS,(x: int) -> int,passive_labeled_pairs,Passive Pairs,passive,membership,medium,modulo_of_cube_by_eleven,45,5,1.0,5,5,0,1.0,False,True,False,0.0,0.0,0,30.0,0.0,80.0,0.8,1,100,0.0
gpt-5.4-mini,numbers_passive_labeled_pairs,NUMBERS,(x: int) -> int,passive_labeled_pairs,Passive Pairs,passive,membership,medium,integer_average_with_ten,39,4,1.0,4,4,0,1.0,False,False,True,86.66666666666667,86.66666666666667,1,100.0,1.0,86.66666666666667,0.8666666666666667,1,100,100.0
gpt-5.4-mini,numbers_passive_labeled_pairs,NUMBERS,(x: int) -> int,passive_labeled_pairs,Passive Pairs,passive,membership,medium,smallest_divisor_ge_two_abs,9,5,1.0,5,5,0,1.0,False,True,False,0.0,0.0,0,26.0,0.0,80.0,0.8,1,100,0.0
gpt-5.4-mini,numbers_passive_labeled_pairs,NUMBERS,(x: int) -> int,passive_labeled_pairs,Passive Pairs,passive,membership,medium,distance_from_square_of_three,15,5,1.0,5,5,0,1.0,False,False,True,80.0,80.0,1,100.0,1.0,80.0,0.8,1,100,100.0
gpt-5.4-mini,numbers_passive_examples_oneshot,NUMBERS,(x: int) -> int,passive_examples_oneshot,Oneshot I/O,oneshot,io,medium,absolute_modulus_gap_eleven,58,1,1.0,1,1,0,1.0,False,True,False,0.0,0.0,0,23.0,0.0,100.0,1.0,0,100,0.0
